intent,document
감정조절이상,제 감정이 이상해진 것 같아요. 남편만 보면 화가 치밀어 오르고 감정 조절이 안되요.
감정조절이상,더 이상 내 감정을 내가 컨트롤 못 하겠어.
감정조절이상,하루종일 오르락내리락 롤러코스터 타는 기분이에요.
감정조절이상,꼭 롤러코스터 타는 것 같아요.
감정조절이상,롤러코스터 타는 것처럼 기분이 왔다 갔다 해요.
감정조절이상,작년 가을부터 감정조절이 잘 안 되는 거 같아.
감정조절이상,예전에 비해서 인내심이 너무 짧아진 거 같아.
감정조절이상,더 이상 혼자서는 감정조절을 못하겠어.
감정조절이상,점점 나 자신을 컨트롤하지 못하는 기분이야.
감정조절이상,나도 이러기 싫은데 내 마음대로 안돼.
감정조절이상,맨정신일 때는 저를 주체할 수 가 없었거든요.
감정조절이상,주체가 안 돼.
감정조절이상,이렇게 쌓이고 쌓이다 나중에 확 터지거든요. 진짜 걷잡을 수 없이요.
감정조절이상,근데 감정을 다스리지 못해 욱하기도하고.
감정조절이상,순간순간 감정조절을 못해요.
감정조절이상,평소 다른 일을 할 때도 비슷해요. 생각한대로 안되면 화가 나고…그런 상황이 지속되면 폭발해버려요.
감정조절이상,예전보다 화내는 게 과격해진 거 같아.
감정조절이상,화가 안 참아져.
감정조절이상,근데 다음에 또 그러면 또 화가 나고… 모르겠어요. 제 감정이 통제가 안 돼요.
감정조절이상,마음은 안 그런데 화를 낼 때 더 불같이 내게 되기도 하고..
감정조절이상,막 내 감정을 내가 주체 못 한다나? 화 내는 게 뭔가 평소랑 다르대.
불면,걱정이 돼서 밤에 잠이 안 와.
불면,또 못 자면 어떡하지? 하고 걱정이 드는데 그거 때문에 더 못 자는 거 같아요.
불면,언제 또 이렇게 못 잘 지 모르겠고… 또 못 자게 될까봐 그게 걱정돼.
불면,안 해도 될 걱정을 하게 되고 그렇게 생각하다 다시 또 잠을 못 자.
불면,이런저런 걱정이 많아서 잠도 못 자고 있고요.
분노,버렸는지 뭔지 내가 어떻게 알아?
분노,진짜 어이없고 화가 나서 숨이 턱 막히는 거야.
분노,어떻게 나한테 말도 한마디 없이 그럴 수가 있지?
분노,내가 밥을 안 먹어서 병이 난 거래요.
분노,니가 알긴 뭘 알어?
분노,"무슨 이런 본 데 없는 애를 데려왔냐고, 그런 말까지 하시더라고요."
분노,"걔가 학력도 별로 안 좋고… 집안도 그저 그렇긴 한데, 그런 말은 좀 심하지 않아요?"
분노,화가 머리끝까지 났어요.
분노,저를 이렇게 만든 건 그 인간들이예요.
분노,평소보다 쉽게 화가 나.
분노,기가 막히고 어이가 없어서 말이 안 나오더라고.
분노,진짜 미친놈 아니야?
분노,어이가 없죠.
분노,멍청한 게 할 말 못 할 말 못 가리고.
분노,분통 터져 죽겠어요.
분노,사람 환장한다니까요.
분노,아무한테나 화내고 그러지는 않아.
분노,머리가 홱 돌더라.
분노,술집 들락날락할 때부터 알아봤어야 했는데… 정말 기가 막히고 말이 안 나와요.
분노,다 자기 일이 아니라서 모르는 거예요.
분노,지금 생각해도 너무 빡쳐.
분노,저를 이렇게 만든 건 그 인간들이에요.
분노,한국 들어오고 되는 일이 하나도 없어!
분노,애국심을 가질 수가 없는 나라야.
분노,너무 분하고 억울했지만…더 이상 싸울 힘이 없더라구요.
분노,그 인간들이 벌 받았으면 좋겠어요.
분노,성인 되면 좀 나아질 줄 알았는데 여전히 저래. 진짜 빡친다.
분노,그냥 모든 일에 다 화가 나. 왜 다 내 뜻대로 안 되지?
분노,볼 때 마다 속이 부글부글 끓어.
불안,불안해서 가만히 있을 수가 없어. 
불안,"전남친한테 폭행당하고, 너무 불안해서 생활이 안돼요. "
불안,"근데 진짜 웃긴 게 지난 번에 그렇게 확인했는데, 회사 나왔는데, 뭔가 불안한거야. "
불안,치매 걸리는 건 아닌가 불안하더라고요. 
불안,작년부터는 더 불안해졌어요. 
불안,불안함을 병적으로 느끼기 시작한 건 20대 초였어.
불안,너무 불안해서 양손을 꽉 잡았어. 
불안,언제 뭐가 날아올지 모르니까 불안한 기분이 늘 들어요.
불안,자꾸 마음이 불안해.
불안,외나무다리에 서 있는 기분이죠. 
불안,매일 매일 너무너무 심하게 불안했어요. 
불안,발이 땅바닥에 제대로 안 붙어 있는 기분이었어요.
불안,너무 당황스럽더라.
불안,누가 신경을 막 갉아먹고 있는 느낌?
불안,근데 그 뒤로 화장실에 갈 때마다 불안한 거야.
