,todo,depress
,"요가(Yoga therapy)는 전 세계적으로 가장 오랜 기간 동안 알려져 있으며, 현대인들이 스트레스 해소와 건강 관리를 위해 많이 실천하는 운동입니다. 요가의 이완 동작, 명상, 호흡은 신체적 스트레스 뿐만 아니라 정신적 스트레스를 해소하고, 분노와 같은 감정을 조절하여 정신적인 행복감을 증진시킵니다. 일상에서 있었던 일을 마음 속에서 떠올리면서 아로마 향기를 맡으며 몸을 최대한 이완시키는 요가를 실천한다면 가벼운 우울증을 개선하는 데 도움이 될 것입니다. 특히 자기 전에 요가를 실천하면 휴식을 취하며 우울감으로 인한 불면증을 개선하는 데 도움이 될 수도 있습니다. 혈액순환이 원활하지 못하거나 육체적, 정신적으로 과도한 긴장 상태에 있을 경우 숙면 요가를 통해 긴장과 스트레스를 내려놓고 몸과 마음을 편안한 상태로 만들어 보세요.  ",불면
,"화가 나는 상황에서도 평정심을 잃지 않는 것은 성숙의 표시로 여겨질 수 있습니다. 감정에 휩쓸리지 않고 냉정한 판단력을 유지하는 모습은 어른스럽고 신뢰할 수 있는 모습으로 보입니다. 그러나 이러한 사람들은 사실상 매번 마음과 마음에 위험한 부담을 안고 있을 수도 있습니다. 항상 화를 참고 분노를 억누르거나, 마음 속에 숨기는 것은 뇌관이 제거되지 않은 폭탄을 품고 살고 있는 것과도 비슷합니다. 내부에 밀어 넣은 화는 한꺼번에 폭발하거나 불발될 수 있으며, 그 과정에서 점차적으로 마음을 부식할 수 있습니다. 이를 '화병'이라고 말하기도 합니다.

성격적으로 내성적인 사람이거나 책임감이 강한 사람들, 화를 참아야 하는 것에 대해 교육받고 자란 경우 등에서는 화병이 발생하기 쉽습니다. 다른 사람들이 보기에도 화가 날 만한 상황이라면 화를 내는 것이 정당하다고 생각됩니다. 분노는 반드시 죄악적인 것만은 아닙니다. 오히려 정당한 분노를 정당한 방식으로 표현하는 것이 권장되는 일입니다. 화를 참지 않으려고 노력하는 것이 아니라 화를 '올바르게' 표현할 수 있는 방법을 배우는 것이 중요합니다.

따라서, 우리는 화를 내지 않기 위해 노력하는 것이 아니라 화를 바르게 표현하고 관리할 수 있는 방법을 배워야 합니다. 이를 통해 우리는 감정을 건강하게 표현하고, 삶의 품질과 안녕을 유지할 수 있습니다.",분노
,"이완요법(Relaxation therapy)은 일상 생활에서 쌓이는 작은 스트레스를 즉각적으로 해소하는 데 도움이 되는 방법입니다. 이완요법은 작용-반작용의 원리를 활용하여 인위적으로 근육에 힘을 준 후 이완시키는 것입니다. 방법은 간단합니다. 무릎 아래에 베개를 놓고, 옷을 편안하게 풀어주고, 편안한 자세에서 20초 동안 다리에 힘을 주는 것입니다. 그리고 1부터 30까지 세면서 최대한 다리의 힘을 풀어주면 됩니다. 이와 같은 방법을 팔, 어깨, 몸통 등 다른 부위에도 적용할 수 있습니다. 이때, 신체를 조절하기 위해 억지로 하기보다는 자연스럽게 자신의 느낌과 경험에 주의를 기울이는 것이 중요합니다. 다른 운동을 할 여유가 없는 바쁜 직장인, 주부, 학생들이 일상에서 활용하기에 좋습니다.
단, 효과를 얻기 위해서는 정해진 시간에 규칙적으로 실천하는 것이 중요합니다.

또한, 이완요법은 불안장애 치료에도 효과적이어서 불안장애 치료 과정에 필수적으로 포함되는 경우가 있습니다. 이완요법은 심신의 안정을 촉진하고 긴장을 완화하여 불안감을 감소시키는 데 도움이 되며, 전반적인 정신적 안녕과 안정을 추구하는 데 도움을 줄 수 있습니다. 이완요법을 통해 스트레스를 해소하고 몸과 마음을 편안하게 유지하는 것은 우리의 일상 생활에서 중요한 자가관리 방법 중 하나입니다.",불안
,"아로마테라피(Aromatherapy)는 매우 효과적인 방법으로 알려져 있습니다. 아로마 향을 맡으면 우리 몸은 긍정적인 반응을 보입니다. 특히 불안하고 초조한 분들이 아로마 향을 맡으면, 호흡이 차분해지고, 집중력이 생기며 긍정적인 기억이나 감성을 유도할 수 있다고 알려져 있습니다. 아로마테라피의 과학적 효과는 이미 여러 연구를 통해 입증되었습니다. 예를 들어, 가벼운 우울증을 겪고 계신 분들에게 아로마 향기를 정기적으로 사용하면, 저용량의 항우울제를 복용한 경우와 유사한 효과를 보여준다는 연구 결과가 있습니다.

아로마테라피를 활용하여 자가관리하시면 가벼운 우울증을 극복하는 데 도움을 받을 수 있을 것입니다. 자신에게 맞는 아로마 향기를 선택하고 향을 맡는 것은 당신의 정신적인 안정과 행복을 위한 좋은 방법일 수 있습니다. 조금씩 아로마 테라피를 도입해보시고 효과를 경험해보시기를 바랍니다.",초조
,"감정은 너무 억누르면 병이 될 때도 있어요. 어릴 때부터 울음을 금지시키거나 남자다움과 관련된 교육을 받은 남성들 중에서는 감정 표현, 특히 울음에 서툴게 될 수 있는 경우가 많습니다. 이러한 사람들은 실제로 울어야 할 때에도 눈물이 나오지 않아 당황하거나 고통을 겪을 수 있습니다. 이런 상황에서 가장 중요한 것은 자신의 연약함, 불안, 그리고 막막함을 받아들이는 것입니다.

흥미로운 사례로, 영국 왕세자비 다이애나가 불행한 교통사고로 사망한 후 온 영국이 슬픔에 잠긴 것을 보면서 심리상담을 찾는 사람들이 크게 줄어들었다는 얘기가 있습니다. 이를 '다이애나 효과(Diana effect)'라고 부르며, 다이애나의 사망을 통해 슬픔과 눈물을 경험하면서 내면에 숨어있던 여러 정신적이고 심리적인 문제들이 해결되는 경험을 한 것으로 설명합니다.

울음은 우리 마음에 내리는 단비와도 같습니다. 비가 내리면 땅이 더욱 굳어지듯이, 눈물 뒤에는 우리 마음이 더욱 강하고 건강해질 수 있습니다. 눈물을 흘리며 감정을 표현하고 해소함으로써 더욱 건강한 정서적 상태를 유지할 수 있습니다.

따라서, 자신의 감정을 억누르지 않고 울음을 허용하며 감정을 표현하는 것은 우리의 정신적인 건강과 안녕을 위해 중요한 요소입니다. 울음을 자유롭게 하며 감정을 받아들이고 해소하는 것은 더욱 건강한 삶을 살아갈 수 있는 방법 중 하나입니다.",슬픔
,"외로움을 이겨내는 방법 중에서 가장 좋은 것은 변화에 적극적이며, 스스로를 새롭게 바꾸는 것입니다. 자신이 변화하는 환경에 적응하고 그 안에서 자신의 가치와 즐거움을 찾아보는 방법을 배워봅시다. 지금까지의 세상이 외로움을 느끼게 한다면, 당신을 외롭게 만들지 않을 무언가를 적극적으로 찾아내기 위해 노력해보세요.

변화는 삶을 풍요롭게 만들어주는 도구입니다. 새로운 사람들을 만나거나 새로운 활동에 참여하는 것은 외로움을 덜어주는 좋은 방법일 수 있습니다. 용기를 내어 새로운 경험을 시도해보고, 자신을 향한 자기 성장과 발전을 위해 노력해봅시다.

또한, 외로움을 극복하는데 도움이 되는 다양한 자원들을 찾아 활용하는 것도 좋은 전략입니다. 지역 사회의 모임에 참여하거나 취미 그룹에 가입하면 새로운 사람들과의 교류와 연결이 가능합니다. 또는 온라인 커뮤니티나 소셜 미디어를 통해 관심사와 의견을 공유하는 것도 좋은 방법입니다.

중요한 점은 외로움을 이겨내는 과정에서 자신에게 양육적인 태도를 가지는 것입니다. 자신을 이해하고 돌보며, 자신을 위한 시간과 관심을 가져야 합니다. 외로움은 모두가 경험하는 자연스러운 감정이며, 이를 받아들이고 극복하기 위해 노력하는 것이 중요합니다. 자신을 사랑하고 이해하며, 자신의 삶을 채워나가는 과정에서 외로움을 이겨낼 수 있을 것입니다.




",외로움
,"광선요법(Light therapy)은 매우 효과적인 치료법으로 알려져 있습니다. 특히 일조량이 부족한 북유럽 국가에서는 우울증 유병률과 자살률이 높은데, 이는 햇빛이 우울증의 발생 위험을 낮춰주기 때문입니다. 햇빛을 받으면 우리 몸에서 기분을 좋게 하는 호르몬인 세로토닌이 분비되어 우울증을 예방하는 데 도움이 됩니다. 실제로 정신건강의학과에서도 우울증을 치료하는데 2500룩스 이상의 빛을 내는 인공적인 광선요법을 함께 활용하기도 합니다.

가벼운 우울증을 겪고 있다면 일상 생활 속에서 정기적으로 시간을 내어 태양광선과 마주하는 것도 도움이 될 수 있습니다. 바람이 없는 날에는 남쪽을 향해 오전 10시부터 오후 2시까지 일광욕을 즐겨보세요. 다만, 이때 모자를 써서 얼굴로 오는 자외선을 피하는 것이 좋습니다. 가벼운 산책을 하면서 운동까지 함께하면 한 번에 두 가지의 효과를 얻을 수 있습니다.

자연의 햇빛을 즐기는 것은 우울증 극복에 도움이 되는 자가관리법 중 하나입니다. 조금씩 시간을 내어 태양의 빛과 함께하는 것이 당신의 정신적인 건강과 행복에 긍정적인 영향을 줄 것입니다.",우울
,"정신적 현실(psychic reality)’ 라는 정신의학적 용어가 있습니다. 사람은 누구나 본인에게 주어진 현실을 객관적이기보다는 주관적으로, 즉 과거 경험, 무의식, 감정 등 주관적인 배경 아래서 현실을 받아들인다는 것입니다. 따라서, 우울한 안경을 쓰고 내 앞에 놓인 현실을 바라보면 혼자인 것 같고, 희망이 없다고 느끼기 쉬우며, 극단적인 생각을 하기도 합니다.
내 마음의 눈에 씌여진 어두운 색의 안경, 그것이 ‘정신적 현실’입니다. 우리는 언제나 주관적으로 현실을 받아들이지요. 하지만 그것이 전부는 아닙니다. 그저 우리가 그렇게 보고 있지 않을 뿐, 객관적인 현실은 어쩌면 그만큼 절망스럽지 않을지도 모릅니다.
문득문득 죽고 싶은 충동이 생길 때, 이럴 때 우린 어떻게 해야 할까요?
자신과 약속하세요.
지금은 눈 앞의 현실이 힘들게만 느껴지겠지만, 이 순간이 지나면 달리 보일 수 있습니다. 이 모든 괴로움과 시련은 당신이 충분히 이겨낼 수 있는 것들입니다. 그러니 순간의 유혹에 넘어가지 마세요. 스스로 자신과 약속을 하세요. “나는 충동적으로 행동하지는 않을 거야”.
주변에 있는 위험한 물건들을 치우세요.
칼, 가위, 30cm 이상의 끈, 다량의 약, 농약 등 충동적으로 되었을 때 위험한 도구가 될 수 있는 물건들을 주변에서 치우세요. 환경을 바꿔주는 것만으로도 큰 위기를 모면할 수 있습니다.
술을 마시지 마세요.
힘들고 속상할 땐 술이 더 생각나지요. 하지만 너무 속상하고 힘들 때는 술을 피하세요. 술을 마시면 평소에 자신을 조절하고 있던 통제력이 약해지면서 더 충동적이 될 수 있습니다. 충동적이 되면 평소엔 생각만 하고 있던 것을 행동으로 옮기기 쉬워집니다.
혼자 있기보다 가까운 사람과 함께 있으세요.
누군가 함께하고 있고, 내 주변에 내 고통을 이해해주고 들어주는 사람이 있다는 것만으로도 극단적인 감정이 다소 누그러지기도 합니다. 괴로움을 들어줄 수 있는 가족, 친구… 내 주변에 있는 사람을 떠올려보세요. 그리고 그들과 이야기해보세요.
누군가에게 당신의 고통을 말해 보세요.
내 고민이나 고통을 다른 사람에게 이야기하는 것에 대해 처음에는 두려움이나 수치심이 들 수도 있습니다. 나를 과연 이해해 줄까? 내가 바보 같다고 비난하진 않을까? 염려도 되겠지요. 하지만, 당신의 이야기를 들어주고 도와줄 사람이 얼마든지 있습니다. 다만, 당신이 보지 못하고 떠올리지 못한 것일 뿐입니다.
주변에 말을 하는 것이 힘들다면 24시간 정신건강 상담전화(1577-0199)를 이용해 전문적인 상담을 받아보는 것도 좋은 방법이 될 수 있습니다.
전문가의 도움을 받으세요.
가까운 정신건강의학과를 방문해서 어려움을 상의하고, 전문적인 도움을 구하기 바랍니다. 당신도 모르는 우울증, 조울증, 불안장애 등의 질환이 내 감정과 생각을 조절하기 어렵게 만들고 있는지도 모릅니다.
자살위기 상황 시 24시간 도움을 받을 수 있는 기관의 전화번호를 알아둡니다.
1577-0199 정신건강 상담전화는 24시간 여러분들에게 열려 있습니다. 늦은 밤 혹은 이른 새벽, 홀로 고통스러운 생각과 극단적 감정에 시달릴 때, 상담전화를 이용해 여러분의 생각과 감정에 대해 털어놓고 상담해 보세요. 누군가 나에게 귀를 기울여주고, 진심으로 도와주고자 한다는 사실만으로도 큰 위안을 받을 수 있습니다.",자살
,"낮은 자존감을 가지고 계시면 매사에 소극적으로 되실 수 있으시고, 자신이 존중받아야 할 가치가 충분히 있음에도 점수를 낮게 매겨 저평가하는 경향이 있습니다. 비록 어린 시절부터 형성된 것이시더라도 자부심은 자신의 태도와 의지에 따라 얼마든지 건강하게 키울 수 있습니다. 자존감은 인생의 모든 면에 영향을 미치기 때문에 지나치게 자존감이 낮다면 끌어올릴 필요가 있습니다.
자신을 용서해 주세요.
자존감이 낮은 분들은 실수를 저지르면 자신을 질타하거나 창피해하며 이를 극복하는 데 어려움을 겪는다고 합니다. 실수는 인간이라면 누구나 저지르는 행동으로, 순간의 잘못이 인생 전체를 좌지우지하지 않습니다. 자신을 용서하고 다시는 실수를 저지르지 않도록 노력하는 것이 중요합니다.
긍정적으로 생각해 보세요.
비관적으로 생각을 하면 그대로 실현될 가능성이 높습니다. 예를 들어, 프레젠테이션을 앞두고 ""나는 잘해내지 못할 거야""라는 생각을 가지면 실제로도 이를 망칠 가능성이 높습니다. 그러나 반대로 '잘해낼 수 있다'는 자신감을 가지면 힘들고 어려운 상황이라도 긍정적으로 대처할 수 있습니다. 만약 실패했다고 하더라도 좌절하지 말고, 그간의 노력과 목표를 달성했다는 데 의의를 두시기 바랍니다.
자기를 격려해 주세요.
자존감이 낮고 비관적인 분들은 '내가 시험을 잘 본 건 문제가 쉬웠기 때문이다'라며 자신의 성과를 인정하지 못하는 경향이 있습니다. 그러나 자신의 능력이 충분하고 열심히 노력했음에도 불구하고 부정적인 결론에 도달하는 것입니다. 자기를 과소평가하고 실수에 예민하게 반응하기 때문에 항상 자신을 격려하고 용기를 북돋아 주는 자세가 필요합니다",자존감저하
,"용서는 잘못을 저지른 상대방을 위해서가 아니라, 바로 나 자신을 위해서, 지극히 개인적인 관점에서라도 배우고 실천해야 합니다. 왜냐하면 남을 용서하는 과정을 통해 심리적으로 자신이 먼저 치유되기 때문입니다. 우리 마음에서 용서받아야 할 사람과 용서받아야 할 과오를 놓아줌으로써 나 자신을 자유롭게 해방시킬 수 있습니다.

용서는 잘못을 잊어버리는 망각이 아니며, 타인에게 베푸는 자선도 또한 아닙니다. 용서는 타인의 잘못으로부터 내가 자유로워지고자 하는 정신적인 날갯짓입니다. 집착에서 벗어나서 자유롭게 되고, 스스로가 정신적으로 발전할 수 있는 것입니다. 이것이 선지자들이 말하는 '용서가 주는 구원'임을 기억해야 합니다.

첫째, 용서는 상대를 위한 것이 아니라 나를 위한 것입니다. 심리학 박사 프레드 러스킨은 ""용서란 평온한 감정입니다. 그런 감정은 자신의 상처를 덜 개인적인 것으로 받아들이고, 자신의 감정에 책임을 지고 그 사건에서 피해자가 아닌 승리자가 되었을 때 생겨납니다""고 말했습니다. 마음속에 나에게 상처를 입힌 사람에 대한 원망과 미움으로 가득 차 있다면, 즐거움과 행복을 느낄 여유가 없어서 더 나은 인생을 살기 어렵습니다. 미래를 위해 한 발짝 나아가려면 진정한 용서를 통해 '평화로움'을 느껴야만 가능합니다. 상대방을 향한 미움에서 자신을 해방시켜야만 내가 갖고 있는 정신적인 고통에서 벗어날 수 있습니다. 용서는 남을 위해 베푸는 이타적인 마음인 동시에 자신에게 베푸는 사랑이라는 것을 명심해야 합니다.

둘째, 용서해야 과거에서 벗어날 수 있습니다. 누구도 자신에게 상처를 입히는 일이 일어나길 바라지 않습니다. 원치 않았던 과거의 일에 집착하면 현재에 집중할 수 없게 됩니다. 누군가를 미워하는데 감정을 다 쏟아부으면 마음에 여유가 사라지게 됩니다. 용서는 과거에 갇힌 나를 꺼내 앞으로 나아가게 만듭니다.

셋째, 용서하지 않으면 나도 용서받을 수 없습니다. 인생을 살면서 한번쯤 타인에게 상처를 준 경험이 있을 것입니다. 이때 나는 어떤 생각이었는지를 기억해야 합니다. 상대가 악의를 가지고 했던 행동이었을 수도 있고, 실수로 인해 발생한 일일 수도 있습니다. 혹은 좋든 나쁘든 지난 날 나와 같은 마음일 수도 있습니다. 마음을 넓게 가지고 상대방을 이해해보려고 노력해야 합니다. 이때 내가 앞으로 받게 될 수많은 용서에 대해 생각하면 용서하기가 좀 더 수월할 것입니다. 용서는 무릇 우리가 받은 것을 되돌려 주는 것이고, 갚아야 할 것으로 생각하면 남을 더 쉽게 용서할 수 있을 것입니다.

넷째, 잊어버리는 것은 용서가 아닙니다. '잊어버리는 것'과 '용서'는 다른 개념입니다. 많은 사람들이 '용서'와 '잊어버리는 것'을 혼동하기도 합니다. 그것은 망각일 뿐 마음 한 켠에는 아직도 원망이 그대로 남아있습니다. 단지 기억하지 않음으로써 증오의 감정을 잠시 꺼둔 것일 뿐입니다. 망각은 고통을 피하기 위해 상처받은 감정을 묻어버린 것이기 때문에 마음 속에 분노와 미움을 모두 털어버리는 참된 용서를 행한 것은 아닙니다. 이렇게 파묻힌 감정은 기억이 되살아나거나 시간이 지나면 부정적으로 표출될 가능성이 있습니다. 예전과 같은 일이 반복되지 않으려면 오히려 그것을 기억함으로써 과오를 범하지 않아야 합니다.

다섯째, 용서로 무엇을 바꾸려 하지 마십시오. 용서를 실천하는 과정에서 우리는 때로는 자신의 용서가 상황을 개선시키거나 상대방을 개심시킬 것으로 기대합니다. 그러다가 원하는 결과가 나오지 않으면 자신의 결정을 후회하며 괴로움 속에 번민할 수 있습니다. 그러나 용서는 타인에게 지우는 빚도 아니며 멍에도 아닙니다. 용서는 내게 잘못을 저지른 타인을 선한 마음으로 이해하고 잘못을 덮어주는 행위입니다. 그로 인해 변하는 것은 자기 자신이지 타인이 아닙니다.

",죄책감
