id,playlist_name,href,num of songs,hashtag
525076594,퇴폐미 50% 섹시미50% 독사같은 치명적인 음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=525076594,25,#퇴폐
484083307,삶에 지친 나에게 전하는 따뜻한 발라드,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=484083307,78,#위로
506395551,파도는 음악이 되고 우리는 서로가 되어,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=506395551,43,#위로
458564180,네가 생각나는 날에 듣는 국힙 Playlist,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=458564180,51,#이별
519988955,유난히 긴 밤을 걷는 당신을 위한 짙은 감성팝,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=519988955,77,#새벽
438389351,흐리고 비오는 날 감성자극하는 나른한 음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=438389351,54,#흐린날
507712836,우울이 날 집어삼켜 심연으로 끌어 내릴 때,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=507712836,143,#우울
483852354,힘없는 목소리가 위로가 될 때 듣는 감성 팝,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=483852354,42,#힘들때
474246086,깊은 위로를 전하는 가삿말의 노래,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=474246086,25,#위로
523395160,청춘 위로를 담은 우리들의 이야기,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=523395160,41,#위로
479503196,아름답고도 슬픈 선율의 클래식 연주곡,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=479503196,20,#클래식
478550964,나 INFP 우울할땐 이 노래를 들어,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=478550964,68,#infp
524633149,내 귓가를 울릴 팝들과 보내는 감성 가득한 밤,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=524633149,26,#새벽
525590575,이별도 결국 이렇게 쉬웠던 걸까,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=525590575,51,#이별
405868532,묘하게 빠져드는 멜랑꼴리한 감성 몽환적인 곡,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=405868532,560,#Pop
503955542,너가 찾고 있는 그 노래 Ballad & RnB,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=503955542,163,#발라드
508379182, 100 이미 지나가버린 하루를 놔주지 못한 너의 새벽을 위해,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=508379182,37,#새벽
525796365,매일이 지치고 힘들때,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=525796365,27,#우울
