id,playlist_name,href,num of songs,hashtag
507591535,감성 브이로그의 오프닝을 장식해 줄 영롱한 Lofi*,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=507591535,215,#브이로그
509588891,00년대생들을 위한 추억의 3세대 KPOP 노동요 ,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=509588891,163,#노동요
521076668,평소 생각 많은 INFJ가 새벽 일기 끄적이며 듣는 노래 모음 Zip,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=521076668,50,#mbti
521065195,몸과 마음의 안정을 도와주는 음악 클래식 연주곡,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=521065195,280,#힐링
521147313,호텔로비에 어울리는 클래식 연주곡,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=521147313,226,#작업
521117676,집중할때 듣기 가사없는음악 독서공부,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=521117676,101,#집중
518655810,미술관박물관 클래식연주곡,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=518655810,126,#미술관
520437267,여유롭게 카페에서 듣기 좋은 연주곡 모음공부독서,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=520437267,196,#공부
515457976,기분좋은 아침을 위한 잔잔한음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=515457976,156,#모닝콜
515031960,사무실에서 업무나 집중할때 듣는음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=515031960,186,#사무실
518284515,명상이나 독서할때 듣는 차분한음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=518284515,184,#명상
516287933,자기전에 듣는 자장가 클래식,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=516287933,87,#자기전에
520622846,북카페에서 듣기좋은 힐링음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=520622846,261,#북카페
519106685,휴식과 힐링에 좋은 잔잔한음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=519106685,210,#휴식
521107306,휴식과 힐링에 좋은 잔잔한음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=521107306,181,#휴식
521366871,따스한 봄날 카페에서 흘러 나오는 피아노 연주곡,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=521366871,111,#bgm
519853847,휴식과 힐링에 좋은 클래식 명곡 베스트 연주곡 모음,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=519853847,261,#클래식
521065647,날씨좋은날 카페에 앉아 듣고싶은 피아노 연주곡 모음,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=521065647,131,#카페
516932652,따뜻한 위로가 되어주는 잔잔한음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=516932652,283,#따뜻한
519000623,휴식과 힐링에 좋은 차분한음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=519000623,200,#휴식
516371259,조용히 집중해서 책읽을때 듣는 음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=516371259,145,#책
502563120,마음까지 따뜻해지는 잔잔한음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=502563120,197,#마음
520214256,북카페에서 듣는 잔잔한음악생각집중,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=520214256,194,#북카페
518160018,휴식과 힐링에 좋은 클래식음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=518160018,166,#휴식
518372009,이불속에서 듣는 잔잔한음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=518372009,184,#이불
519572904,작업할때 잔잔히 틀어놓기 좋은 연주곡,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=519572904,271,#작업
518777825,잠들기전 몽글몽글 자장가,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=518777825,194,#몽글몽글
519068394,생각이나 집중할때 듣는 잔잔한음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=519068394,252,#생각
515852055,완전한 휴식을 위한 힐링음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=515852055,287,#휴식
520712485,마음이 따뜻하고 편안해지는 자장가,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=520712485,121,#마음
514344587,카페에서 흘러나오는 잔잔한음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=514344587,115,#카페
519407502,기분좋은 아침에 듣는 음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=519407502,282,#뉴에이지
516204651,마음의 안정이 필요할때 듣는 연주곡,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=516204651,134,#마음
520136637,집중할때 듣기좋은 잔잔한BGM,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=520136637,260,#가사없는
516019405,일할때 집중하기 좋은음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=516019405,178,#일할때
516658199,햇살 가득한 아침에 듣는음악,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=516658199,134,#모닝콜
518023862,아기들의 꿀잠을 위한 잔잔한오르골,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=518023862,76,#오르골
519449830,카페 오픈할때 듣는 BGM 휴식생각,https://www.melon.com/mymusic/dj/mymusicdjplaylistview_inform.htm?plylstSeq=519449830,132,#카페
